"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"221","2025-04-16T08:43:44.850+02:00","2025-04-18T09:50:35.330+02:00",4,"ch.tutti.iphone","s0.2mdn.net","",2,1,"AppInitiated"
"222","2025-04-16T08:43:40.409+02:00","2025-04-21T11:52:49.849+02:00",10,"ch.tutti.iphone","firebaselogging-pa.googleapis.com","Google LLC",1,1,"AppInitiated"
"223","2025-04-16T08:45:18.942+02:00","2025-04-16T08:45:18.942+02:00",1,"ch.tutti.iphone","auth.tutti.ch","",2,1,"AppInitiated"
"224","2025-04-16T08:46:08.343+02:00","2025-04-18T09:50:42.748+02:00",4,"ch.tutti.iphone","crcdn01.adnxs-simple.com","",2,1,"AppInitiated"
"225","2025-04-16T08:46:10.148+02:00","2025-04-18T09:50:43.054+02:00",2,"ch.tutti.iphone","tpc.googlesyndication.com","",2,1,"AppInitiated"
"226","2025-04-16T08:46:05.747+02:00","2025-04-18T09:50:32.149+02:00",4,"ch.tutti.iphone","img.ricardostatic.ch","",2,1,"AppInitiated"
"227","2025-04-16T08:46:08.295+02:00","2025-04-16T08:46:08.295+02:00",1,"ch.tutti.iphone","cdn.adnxs-simple.com","",2,1,"AppInitiated"
"228","2025-04-16T08:46:02.349+02:00","2025-04-17T12:07:02.043+02:00",2,"ch.tutti.iphone","www.google.com","",2,1,"AppInitiated"
"229","2025-04-16T08:46:08.565+02:00","2025-04-17T12:16:35.592+02:00",3,"ch.tutti.iphone","fra1-ib.adnxs-simple.com","",2,1,"AppInitiated"
"230","2025-04-17T12:14:29.714+02:00","2025-04-17T12:14:29.714+02:00",1,"ch.tutti.iphone","7melons.ch","",2,1,"AppInitiated"
"231","2025-04-17T12:07:30.403+02:00","2025-04-18T09:50:42.820+02:00",8,"ch.tutti.iphone","ams3-ib.adnxs-simple.com","",2,1,"AppInitiated"
"232","2025-04-17T12:14:29.873+02:00","2025-04-17T12:14:29.873+02:00",1,"ch.tutti.iphone","ocsp.usertrust.com","",2,1,"AppInitiated"
"233","2025-04-18T08:25:56.796+02:00","2025-04-19T11:52:25.270+02:00",6,"ch.tutti.iphone","googleads.g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"234","2025-04-18T09:50:43.115+02:00","2025-04-18T09:50:43.115+02:00",1,"ch.tutti.iphone","cdn.doubleverify.com","",2,1,"AppInitiated"
"235","2025-04-18T09:50:43.360+02:00","2025-04-18T09:50:43.360+02:00",1,"ch.tutti.iphone","tps.doubleverify.com","",2,1,"AppInitiated"
"236","2025-04-18T09:50:34.973+02:00","2025-04-18T09:50:34.973+02:00",1,"ch.tutti.iphone","pubads.g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"237","2025-04-18T09:50:44.057+02:00","2025-04-18T09:50:44.057+02:00",1,"ch.tutti.iphone","tpsc-ew1.doubleverify.com","",2,1,"AppInitiated"
