"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"102","2025-01-30T11:09:30.838+01:00","2025-01-30T11:09:30.838+01:00",1,"swiss.ricardo.iphone","r.stripe.com","",2,1,"AppInitiated"
"103","2025-01-30T11:09:35.661+01:00","2025-01-30T11:09:35.661+01:00",1,"swiss.ricardo.iphone","m.stripe.network","",2,1,"AppInitiated"
"104","2025-01-30T11:09:36.002+01:00","2025-01-30T11:09:36.002+01:00",1,"swiss.ricardo.iphone","m.stripe.com","",2,1,"AppInitiated"
"105","2025-01-30T11:09:30.822+01:00","2025-01-30T11:09:30.822+01:00",1,"swiss.ricardo.iphone","merchant-ui-api.stripe.com","",2,1,"AppInitiated"
"106","2025-01-31T09:37:58.287+01:00","2025-01-31T09:37:58.287+01:00",1,"swiss.ricardo.iphone","10588112.fls.doubleclick.net","",2,1,"AppInitiated"
"107","2025-01-31T09:38:11.156+01:00","2025-01-31T09:38:11.156+01:00",1,"swiss.ricardo.iphone","privacyportal-ch.onetrust.com","",2,1,"AppInitiated"
"108","2025-01-31T09:37:58.156+01:00","2025-01-31T09:37:58.156+01:00",1,"swiss.ricardo.iphone","qykzunftnm.ricardo.ch","",2,1,"AppInitiated"
"109","2025-01-31T09:37:58.576+01:00","2025-01-31T09:37:58.576+01:00",1,"swiss.ricardo.iphone","adservice.google.com","",2,1,"AppInitiated"
"110","2025-01-31T09:37:58.254+01:00","2025-01-31T09:37:58.254+01:00",1,"swiss.ricardo.iphone","www.googleadservices.com","Google LLC",1,1,"AppInitiated"
"111","2025-01-31T09:37:31.481+01:00","2025-01-31T09:37:31.481+01:00",1,"swiss.ricardo.iphone","cm.creativecdn.com","",2,1,"AppInitiated"
"112","2025-01-31T09:38:04.594+01:00","2025-01-31T09:38:04.594+01:00",1,"swiss.ricardo.iphone","visitor.omnitagjs.com","",2,1,"AppInitiated"
"113","2025-01-31T09:37:58.833+01:00","2025-01-31T09:37:58.833+01:00",1,"swiss.ricardo.iphone","www.google.ch","",2,1,"AppInitiated"
"114","2025-01-31T09:37:58.083+01:00","2025-01-31T09:37:58.083+01:00",1,"swiss.ricardo.iphone","www.google.com","",2,1,"AppInitiated"
