"","domain","total_accesses","DomainOwnerName","domainType","domainClassification","notes"
"177","chrt.fm",11,"Other",2,1,""
"178","chtbl.com",11,"Other",2,1,""
"179","config-chr.health.apple.com",11,"Apple",2,1,""
"180","configure-tcp-ios.mtgglobals.com",11,"Other",2,1,""
"181","csi.gstatic.com",11,"Google",2,1,""
"182","d3o5xota0a1fcr.cloudfront.net",11,"Other",2,1,""
"183","data.eu.pendo.io",11,"Other",2,1,""
"184","dcs-spotify.megaphone.fm",11,"Spotify",2,1,""
"185","dgalywyr863hv.cloudfront.net",11,"Other",2,1,""
"186","dgtzuqphqg23d.cloudfront.net",11,"Other",2,1,""
"187","dit.whatsapp.net",11,"Meta",2,1,""
"188","fe80::1",11,"Other",2,2,""
"189","fe80::1cc7:9d8e:fc6:65e7",11,"Other",2,2,""
"190","fe80::9acc:f3ff:fe67:51a3",11,"Other",2,2,""
"191","fe80::b8de:e621:9472:a86f",11,"Other",2,2,""
"192","ff02::fb",11,"Other",2,2,""
"193","firebasedynamiclinks.googleapis.com",11,"Google",2,1,""
"194","flex.acast.com",11,"Other",2,1,""
"195","fog.prod.mobilecoinww.com",11,"Other",2,1,""
"196","g.whatsapp.net",11,"Meta",2,1,""
"197","gew4-dealer.g2.spotify.com",11,"Spotify",2,1,""
"198","gew4-spclient.spotify.com",11,"Spotify",2,1,""
"199","gnar.grammarly.com",11,"Other",2,1,""
"200","graphql.strava.com",11,"Strava Inc.",2,1,""
"201","gz.gstatic.com",11,"Google",2,1,""
"202","heads-fa-tls13.spotifycdn.com",11,"Spotify",2,1,""
"203","heatmap-external-c.strava.com",11,"Strava Inc.",2,1,""
"204","iad-03.braze.com",11,"Braze Inc.",1,1,""
"205","ib.adnxs-simple.com",11,"Microsoft",2,1,""
"206","identity.bitwarden.com",11,"Other",2,1,""
"207","image-cdn-ak.spotifycdn.com",11,"Spotify",2,1,""
"208","imasdk.googleapis.com",11,"Google",2,1,""
"209","login.live.com",11,"Other",2,1,""
"210","login5.spotify.com",11,"Spotify",2,1,""
"211","manifest.googlevideo.com",11,"Google",2,1,""
"212","media-zrh1-1.cdn.whatsapp.net",11,"Meta",2,1,""
"213","mobile.events.data.microsoft.com",11,"Microsoft",2,1,""
